,date,weekday,month,journey_origin,journey_destination,journey_start,journey_end,journey_duration,journey_numberlegs,leg1_train,leg1_origin,leg1_destination,leg1_start,leg1_end,leg1_duration,leg2_train,leg2_origin,leg2_destination,leg2_start,leg2_end,leg2_duration,leg3_train,leg3_origin,leg3_destination,leg3_start,leg3_end,leg3_duration
104,2022-09-08,3,9,Köln Hbf,München Hbf,2022-09-08 15:55:00+02:00,2022-09-08 20:28:00+02:00,16380,1,ICE 611,Köln Hbf,München Hbf,2022-09-08 15:55:00+02:00,2022-09-08 20:28:00+02:00,16380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105,2022-09-08,3,9,Köln Hbf,München Hbf,2022-09-08 16:20:00+02:00,2022-09-08 21:12:00+02:00,17520,3,ICE 17,Köln Hbf,Frankfurt(Main) Flughafen Fernbf,2022-09-08 16:20:00+02:00,2022-09-08 17:17:00+02:00,3420,ICE 579,Frankfurt(Main) Flughafen Fernbf,Stuttgart Hbf,2022-09-08 17:24:00+02:00,Stuttgart Hbf,4440,IC 2269,Stuttgart Hbf,München Hbf,2022-09-08 18:54:00+02:00,2022-09-08 21:12:00+02:00,8280
106,2022-09-08,3,9,Köln Hbf,München Hbf,2022-09-08 16:54:00+02:00,2022-09-08 21:27:00+02:00,16380,2,ICE 201,Köln Hbf,Mannheim Hbf,2022-09-08 16:54:00+02:00,2022-09-08 18:23:00+02:00,5340,ICE 691,Mannheim Hbf,München Hbf,2022-09-08 18:30:00+02:00,2022-09-08 21:27:00+02:00,10620,-1,-1,-1,-1,-1,-1
107,2022-09-08,3,9,Köln Hbf,München Hbf,2022-09-08 17:55:00+02:00,2022-09-08 22:26:00+02:00,16260,1,ICE 613,Köln Hbf,München Hbf,2022-09-08 17:55:00+02:00,2022-09-08 22:26:00+02:00,16260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
108,2022-09-08,3,9,Köln Hbf,München Hbf,2022-09-08 18:54:00+02:00,2022-09-08 23:29:00+02:00,16500,2,ICE 203,Köln Hbf,Mannheim Hbf,2022-09-08 18:54:00+02:00,2022-09-08 20:23:00+02:00,5340,ICE 693,Mannheim Hbf,München Hbf,2022-09-08 20:30:00+02:00,2022-09-08 23:29:00+02:00,10740,-1,-1,-1,-1,-1,-1
109,2022-09-08,3,9,Köln Hbf,München Hbf,2022-09-08 19:55:00+02:00,2022-09-09 00:27:00+02:00,16320,1,ICE 615,Köln Hbf,München Hbf,2022-09-08 19:55:00+02:00,2022-09-09 00:27:00+02:00,16320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110,2022-09-08,3,9,Köln Hbf,München Hbf,2022-09-08 23:55:00+02:00,2022-09-09 06:03:00+02:00,22080,1,ICE 619,Köln Hbf,München Hbf,2022-09-08 23:55:00+02:00,2022-09-09 06:03:00+02:00,22080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111,2022-09-09,4,9,Köln Hbf,München Hbf,2022-09-09 03:19:00+02:00,2022-09-09 08:33:00+02:00,18840,1,ICE 827,Köln Hbf,München Hbf,2022-09-09 03:19:00+02:00,2022-09-09 08:33:00+02:00,18840,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
112,2022-09-09,4,9,Köln Hbf,München Hbf,2022-09-09 04:22:00+02:00,2022-09-09 09:39:00+02:00,19020,1,ICE 521,Köln Hbf,München Hbf,2022-09-09 04:22:00+02:00,2022-09-09 09:39:00+02:00,19020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
113,2022-09-09,4,9,Köln Hbf,München Hbf,2022-09-09 05:48:00+02:00,2022-09-09 10:27:00+02:00,16740,1,ICE 511,Köln Hbf,München Hbf,2022-09-09 05:48:00+02:00,2022-09-09 10:27:00+02:00,16740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,2022-09-09,4,9,Köln Hbf,München Hbf,2022-09-09 06:54:00+02:00,2022-09-09 11:27:00+02:00,16380,2,ICE 101,Köln Hbf,Mannheim Hbf,2022-09-09 06:54:00+02:00,2022-09-09 08:23:00+02:00,5340,ICE 591,Mannheim Hbf,München Hbf,2022-09-09 08:30:00+02:00,2022-09-09 11:27:00+02:00,10620,-1,-1,-1,-1,-1,-1
